Total Line Failures,Steady State,Accumulation of Failed Capacities
23,20,6123.0
24,21,6142.0
25,22,6146.0
26,23,6145.0
27,24,6144.0
28,-1,6146.0
5,2,6112.0
6,-1,6108.0
5,2,6163.0
6,3,6161.0
7,-1,6167.0
5,2,6127.0
6,3,6131.0
7,4,6131.0
8,5,6112.0
9,-1,6098.0
5,-1,6127.0
5,2,6105.0
6,3,6115.0
7,-1,6114.0
5,-1,6077.0
5,2,6091.0
6,-1,6082.0
5,2,6124.0
6,3,6142.0
7,4,6141.0
8,5,6148.0
9,6,6148.0
10,-1,6170.0
5,2,6105.0
6,-1,6119.0
5,2,6083.0
6,3,6093.0
7,4,6090.0
8,5,6105.0
9,6,6105.0
10,-1,6088.0
5,2,6111.0
6,-1,6121.0
5,2,6110.0
6,3,6123.0
7,4,6160.0
8,5,6160.0
9,6,6160.0
10,7,6157.0
11,-1,6219.0
5,2,6139.0
6,-1,6134.0
5,-1,6146.0
5,2,6138.0
6,-1,6120.0
5,2,6130.0
6,3,6130.0
7,4,6135.0
8,-1,6118.0
5,2,6152.0
6,3,6152.0
7,-1,6118.0
5,-1,6080.0
5,2,6159.0
6,-1,6102.0
5,2,6085.0
6,3,6080.0
7,-1,6080.0
5,2,6108.0
6,-1,6096.0
5,2,6053.0
6,3,6049.0
